"","MCPP","year","Offense.Parent.Group","n"
"1980","BITTERLAKE","2017","DRIVING UNDER THE INFLUENCE",24
"1981","BITTERLAKE","2017","DRUG/NARCOTIC OFFENSES",77
"1982","BITTERLAKE","2017","EMBEZZLEMENT",3
"1983","BITTERLAKE","2017","EXTORTION/BLACKMAIL",2
"1984","BITTERLAKE","2017","FAMILY OFFENSES, NONVIOLENT",15
"1985","BITTERLAKE","2017","FRAUD OFFENSES",96
"1986","BITTERLAKE","2017","HOMICIDE OFFENSES",1
"1987","BITTERLAKE","2017","KIDNAPPING/ABDUCTION",2
"1988","BITTERLAKE","2017","LARCENY-THEFT",500
"1989","BITTERLAKE","2017","LIQUOR LAW VIOLATIONS",3
"1990","BITTERLAKE","2017","MOTOR VEHICLE THEFT",52
"1991","BITTERLAKE","2017","PORNOGRAPHY/OBSCENE MATERIAL",1
"1992","BITTERLAKE","2017","PROSTITUTION OFFENSES",13
"1993","BITTERLAKE","2017","ROBBERY",26
"1994","BITTERLAKE","2017","SEX OFFENSES",12
"1995","BITTERLAKE","2017","SEX OFFENSES, CONSENSUAL",1
"1996","BITTERLAKE","2017","STOLEN PROPERTY OFFENSES",13
"1997","BITTERLAKE","2017","TRESPASS OF REAL PROPERTY",83
"1998","BITTERLAKE","2017","WEAPON LAW VIOLATIONS",11
"1999","BITTERLAKE","2018","ASSAULT OFFENSES",227
"2000","BITTERLAKE","2018","BAD CHECKS",11
"2001","BITTERLAKE","2018","BURGLARY/BREAKING&ENTERING",179
"2002","BITTERLAKE","2018","COUNTERFEITING/FORGERY",20
"2003","BITTERLAKE","2018","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",114
"2004","BITTERLAKE","2018","DRIVING UNDER THE INFLUENCE",31
"2005","BITTERLAKE","2018","DRUG/NARCOTIC OFFENSES",31
"2006","BITTERLAKE","2018","EMBEZZLEMENT",1
"2007","BITTERLAKE","2018","EXTORTION/BLACKMAIL",1
"2008","BITTERLAKE","2018","FAMILY OFFENSES, NONVIOLENT",25
"2009","BITTERLAKE","2018","FRAUD OFFENSES",81
"2010","BITTERLAKE","2018","KIDNAPPING/ABDUCTION",1
"2011","BITTERLAKE","2018","LARCENY-THEFT",420
"2012","BITTERLAKE","2018","MOTOR VEHICLE THEFT",81
"2013","BITTERLAKE","2018","PORNOGRAPHY/OBSCENE MATERIAL",1
"2014","BITTERLAKE","2018","PROSTITUTION OFFENSES",10
"2015","BITTERLAKE","2018","ROBBERY",32
"2016","BITTERLAKE","2018","SEX OFFENSES",10
"2017","BITTERLAKE","2018","STOLEN PROPERTY OFFENSES",11
"2018","BITTERLAKE","2018","TRESPASS OF REAL PROPERTY",99
"2019","BITTERLAKE","2018","WEAPON LAW VIOLATIONS",13
"2020","BITTERLAKE","2019","ASSAULT OFFENSES",227
"2021","BITTERLAKE","2019","BAD CHECKS",6
"2022","BITTERLAKE","2019","BURGLARY/BREAKING&ENTERING",123
"2023","BITTERLAKE","2019","COUNTERFEITING/FORGERY",6
"2024","BITTERLAKE","2019","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"2025","BITTERLAKE","2019","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",112
"2026","BITTERLAKE","2019","DRIVING UNDER THE INFLUENCE",30
"2027","BITTERLAKE","2019","DRUG/NARCOTIC OFFENSES",11
"2028","BITTERLAKE","2019","EMBEZZLEMENT",2
"2029","BITTERLAKE","2019","FAMILY OFFENSES, NONVIOLENT",11
"2030","BITTERLAKE","2019","FRAUD OFFENSES",82
"2031","BITTERLAKE","2019","HOMICIDE OFFENSES",1
"2032","BITTERLAKE","2019","HUMAN TRAFFICKING",1
"2033","BITTERLAKE","2019","KIDNAPPING/ABDUCTION",3
"2034","BITTERLAKE","2019","LARCENY-THEFT",412
"2035","BITTERLAKE","2019","LIQUOR LAW VIOLATIONS",1
"2036","BITTERLAKE","2019","MOTOR VEHICLE THEFT",105
"2037","BITTERLAKE","2019","PORNOGRAPHY/OBSCENE MATERIAL",3
"2038","BITTERLAKE","2019","PROSTITUTION OFFENSES",10
"2039","BITTERLAKE","2019","ROBBERY",25
"2040","BITTERLAKE","2019","SEX OFFENSES",19
"2041","BITTERLAKE","2019","STOLEN PROPERTY OFFENSES",7
"2042","BITTERLAKE","2019","TRESPASS OF REAL PROPERTY",44
"2043","BITTERLAKE","2019","WEAPON LAW VIOLATIONS",6
"2044","BITTERLAKE","2020","ANIMAL CRUELTY",1
"2045","BITTERLAKE","2020","ASSAULT OFFENSES",249
"2046","BITTERLAKE","2020","BRIBERY",1
"2047","BITTERLAKE","2020","BURGLARY/BREAKING&ENTERING",180
"2048","BITTERLAKE","2020","COUNTERFEITING/FORGERY",5
"2049","BITTERLAKE","2020","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",98
"2050","BITTERLAKE","2020","DRIVING UNDER THE INFLUENCE",22
"2051","BITTERLAKE","2020","DRUG/NARCOTIC OFFENSES",12
"2052","BITTERLAKE","2020","EMBEZZLEMENT",1
"2053","BITTERLAKE","2020","EXTORTION/BLACKMAIL",2
"2054","BITTERLAKE","2020","FRAUD OFFENSES",294
"2055","BITTERLAKE","2020","HOMICIDE OFFENSES",1
"2056","BITTERLAKE","2020","HUMAN TRAFFICKING",1
"2057","BITTERLAKE","2020","KIDNAPPING/ABDUCTION",3
"2058","BITTERLAKE","2020","LARCENY-THEFT",443
"2059","BITTERLAKE","2020","MOTOR VEHICLE THEFT",120
"2060","BITTERLAKE","2020","PROSTITUTION OFFENSES",3
"2061","BITTERLAKE","2020","ROBBERY",23
"2062","BITTERLAKE","2020","SEX OFFENSES",8
"2063","BITTERLAKE","2020","STOLEN PROPERTY OFFENSES",10
"2064","BITTERLAKE","2020","TRESPASS OF REAL PROPERTY",37
"2065","BITTERLAKE","2020","WEAPON LAW VIOLATIONS",3
"2066","BITTERLAKE","2021","ARSON",7
"2067","BITTERLAKE","2021","ASSAULT OFFENSES",264
"2068","BITTERLAKE","2021","BURGLARY/BREAKING&ENTERING",151
"2069","BITTERLAKE","2021","COUNTERFEITING/FORGERY",9
"2070","BITTERLAKE","2021","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",117
"2071","BITTERLAKE","2021","DRIVING UNDER THE INFLUENCE",18
"2072","BITTERLAKE","2021","DRUG/NARCOTIC OFFENSES",5
"2073","BITTERLAKE","2021","DRUNKENNESS",1
"2074","BITTERLAKE","2021","EXTORTION/BLACKMAIL",1
"2075","BITTERLAKE","2021","FAMILY OFFENSES, NONVIOLENT",4
"2076","BITTERLAKE","2021","FRAUD OFFENSES",73
"2077","BITTERLAKE","2021","HOMICIDE OFFENSES",2
"2078","BITTERLAKE","2021","HUMAN TRAFFICKING",1
"2079","BITTERLAKE","2021","KIDNAPPING/ABDUCTION",3
"2080","BITTERLAKE","2021","LARCENY-THEFT",487
"2081","BITTERLAKE","2021","MOTOR VEHICLE THEFT",123
"2082","BITTERLAKE","2021","PROSTITUTION OFFENSES",9
"2083","BITTERLAKE","2021","ROBBERY",18
"2084","BITTERLAKE","2021","SEX OFFENSES",13
"2085","BITTERLAKE","2021","STOLEN PROPERTY OFFENSES",7
"2086","BITTERLAKE","2021","TRESPASS OF REAL PROPERTY",36
"2087","BITTERLAKE","2021","WEAPON LAW VIOLATIONS",13
"2088","BITTERLAKE","2022","ARSON",1
"2089","BITTERLAKE","2022","ASSAULT OFFENSES",258
"2090","BITTERLAKE","2022","BAD CHECKS",1
"2091","BITTERLAKE","2022","BURGLARY/BREAKING&ENTERING",145
"2092","BITTERLAKE","2022","COUNTERFEITING/FORGERY",3
"2093","BITTERLAKE","2022","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",141
"2094","BITTERLAKE","2022","DRIVING UNDER THE INFLUENCE",36
"2095","BITTERLAKE","2022","DRUG/NARCOTIC OFFENSES",5
"2096","BITTERLAKE","2022","EXTORTION/BLACKMAIL",1
"2097","BITTERLAKE","2022","FAMILY OFFENSES, NONVIOLENT",3
"2098","BITTERLAKE","2022","FRAUD OFFENSES",73
"2099","BITTERLAKE","2022","HOMICIDE OFFENSES",4
"2100","BITTERLAKE","2022","HUMAN TRAFFICKING",4
"2101","BITTERLAKE","2022","KIDNAPPING/ABDUCTION",10
"2102","BITTERLAKE","2022","LARCENY-THEFT",504
"2103","BITTERLAKE","2022","MOTOR VEHICLE THEFT",171
"2104","BITTERLAKE","2022","PROSTITUTION OFFENSES",19
"2105","BITTERLAKE","2022","ROBBERY",29
"2106","BITTERLAKE","2022","SEX OFFENSES",18
"2107","BITTERLAKE","2022","STOLEN PROPERTY OFFENSES",17
"2108","BITTERLAKE","2022","TRESPASS OF REAL PROPERTY",34
"2109","BITTERLAKE","2022","WEAPON LAW VIOLATIONS",17
"2110","BITTERLAKE","2023","ANIMAL CRUELTY",1
"2111","BITTERLAKE","2023","ASSAULT OFFENSES",33
"2112","BITTERLAKE","2023","BURGLARY/BREAKING&ENTERING",17
"2113","BITTERLAKE","2023","COUNTERFEITING/FORGERY",2
"2114","BITTERLAKE","2023","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",4
"2115","BITTERLAKE","2023","DRIVING UNDER THE INFLUENCE",2
"2116","BITTERLAKE","2023","DRUG/NARCOTIC OFFENSES",2
"2117","BITTERLAKE","2023","EXTORTION/BLACKMAIL",1
"2118","BITTERLAKE","2023","FRAUD OFFENSES",8
"2119","BITTERLAKE","2023","KIDNAPPING/ABDUCTION",1
"2120","BITTERLAKE","2023","LARCENY-THEFT",60
"2121","BITTERLAKE","2023","MOTOR VEHICLE THEFT",25
"2122","BITTERLAKE","2023","SEX OFFENSES",3
"2123","BITTERLAKE","2023","STOLEN PROPERTY OFFENSES",1
"2124","BITTERLAKE","2023","TRESPASS OF REAL PROPERTY",4
"2125","BITTERLAKE","2023","WEAPON LAW VIOLATIONS",2
"2126","BRIGHTON/DUNLAP","","ASSAULT OFFENSES",5
"2127","BRIGHTON/DUNLAP","","BURGLARY/BREAKING&ENTERING",4
"2128","BRIGHTON/DUNLAP","","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",2
"2129","BRIGHTON/DUNLAP","","EXTORTION/BLACKMAIL",1
"2130","BRIGHTON/DUNLAP","","FAMILY OFFENSES, NONVIOLENT",1
"2131","BRIGHTON/DUNLAP","","FRAUD OFFENSES",2
"2132","BRIGHTON/DUNLAP","","LARCENY-THEFT",7
"2133","BRIGHTON/DUNLAP","","MOTOR VEHICLE THEFT",1
"2134","BRIGHTON/DUNLAP","","PORNOGRAPHY/OBSCENE MATERIAL",1
"2135","BRIGHTON/DUNLAP","","SEX OFFENSES",3
"2136","BRIGHTON/DUNLAP","","STOLEN PROPERTY OFFENSES",1
"2137","BRIGHTON/DUNLAP","2000","FAMILY OFFENSES, NONVIOLENT",1
"2138","BRIGHTON/DUNLAP","2000","FRAUD OFFENSES",1
"2139","BRIGHTON/DUNLAP","2003","FRAUD OFFENSES",2
"2140","BRIGHTON/DUNLAP","2003","SEX OFFENSES",1
"2141","BRIGHTON/DUNLAP","2004","FAMILY OFFENSES, NONVIOLENT",2
"2142","BRIGHTON/DUNLAP","2005","ASSAULT OFFENSES",1
"2143","BRIGHTON/DUNLAP","2005","FRAUD OFFENSES",1
"2144","BRIGHTON/DUNLAP","2006","ASSAULT OFFENSES",1
"2145","BRIGHTON/DUNLAP","2006","BAD CHECKS",1
"2146","BRIGHTON/DUNLAP","2006","FAMILY OFFENSES, NONVIOLENT",2
"2147","BRIGHTON/DUNLAP","2006","FRAUD OFFENSES",1
"2148","BRIGHTON/DUNLAP","2006","SEX OFFENSES, CONSENSUAL",1
"2149","BRIGHTON/DUNLAP","2007","ASSAULT OFFENSES",1
"2150","BRIGHTON/DUNLAP","2007","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",3
"2151","BRIGHTON/DUNLAP","2007","DRUG/NARCOTIC OFFENSES",1
"2152","BRIGHTON/DUNLAP","2007","EMBEZZLEMENT",1
"2153","BRIGHTON/DUNLAP","2007","FAMILY OFFENSES, NONVIOLENT",1
"2154","BRIGHTON/DUNLAP","2007","FRAUD OFFENSES",5
"2155","BRIGHTON/DUNLAP","2007","LARCENY-THEFT",3
"2156","BRIGHTON/DUNLAP","2007","SEX OFFENSES",1
"2157","BRIGHTON/DUNLAP","2008","ARSON",4
"2158","BRIGHTON/DUNLAP","2008","ASSAULT OFFENSES",293
"2159","BRIGHTON/DUNLAP","2008","BAD CHECKS",18
"2160","BRIGHTON/DUNLAP","2008","BURGLARY/BREAKING&ENTERING",151
"2161","BRIGHTON/DUNLAP","2008","COUNTERFEITING/FORGERY",7
"2162","BRIGHTON/DUNLAP","2008","CURFEW/LOITERING/VAGRANCY VIOLATIONS",2
"2163","BRIGHTON/DUNLAP","2008","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",163
"2164","BRIGHTON/DUNLAP","2008","DRIVING UNDER THE INFLUENCE",38
"2165","BRIGHTON/DUNLAP","2008","DRUG/NARCOTIC OFFENSES",145
"2166","BRIGHTON/DUNLAP","2008","EXTORTION/BLACKMAIL",2
"2167","BRIGHTON/DUNLAP","2008","FAMILY OFFENSES, NONVIOLENT",30
"2168","BRIGHTON/DUNLAP","2008","FRAUD OFFENSES",45
"2169","BRIGHTON/DUNLAP","2008","GAMBLING OFFENSES",1
"2170","BRIGHTON/DUNLAP","2008","HOMICIDE OFFENSES",4
"2171","BRIGHTON/DUNLAP","2008","KIDNAPPING/ABDUCTION",3
"2172","BRIGHTON/DUNLAP","2008","LARCENY-THEFT",258
"2173","BRIGHTON/DUNLAP","2008","LIQUOR LAW VIOLATIONS",8
"2174","BRIGHTON/DUNLAP","2008","MOTOR VEHICLE THEFT",68
"2175","BRIGHTON/DUNLAP","2008","PROSTITUTION OFFENSES",18
"2176","BRIGHTON/DUNLAP","2008","ROBBERY",54
"2177","BRIGHTON/DUNLAP","2008","SEX OFFENSES",12
"2178","BRIGHTON/DUNLAP","2008","SEX OFFENSES, CONSENSUAL",1
"2179","BRIGHTON/DUNLAP","2008","STOLEN PROPERTY OFFENSES",11
"2180","BRIGHTON/DUNLAP","2008","TRESPASS OF REAL PROPERTY",17
"2181","BRIGHTON/DUNLAP","2008","WEAPON LAW VIOLATIONS",34
"2182","BRIGHTON/DUNLAP","2009","ARSON",3
"2183","BRIGHTON/DUNLAP","2009","ASSAULT OFFENSES",296
"2184","BRIGHTON/DUNLAP","2009","BAD CHECKS",8
"2185","BRIGHTON/DUNLAP","2009","BURGLARY/BREAKING&ENTERING",118
"2186","BRIGHTON/DUNLAP","2009","COUNTERFEITING/FORGERY",8
"2187","BRIGHTON/DUNLAP","2009","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",155
"2188","BRIGHTON/DUNLAP","2009","DRIVING UNDER THE INFLUENCE",28
"2189","BRIGHTON/DUNLAP","2009","DRUG/NARCOTIC OFFENSES",67
"2190","BRIGHTON/DUNLAP","2009","EXTORTION/BLACKMAIL",2
"2191","BRIGHTON/DUNLAP","2009","FAMILY OFFENSES, NONVIOLENT",21
"2192","BRIGHTON/DUNLAP","2009","FRAUD OFFENSES",40
"2193","BRIGHTON/DUNLAP","2009","GAMBLING OFFENSES",1
"2194","BRIGHTON/DUNLAP","2009","HOMICIDE OFFENSES",1
"2195","BRIGHTON/DUNLAP","2009","KIDNAPPING/ABDUCTION",2
"2196","BRIGHTON/DUNLAP","2009","LARCENY-THEFT",221
"2197","BRIGHTON/DUNLAP","2009","LIQUOR LAW VIOLATIONS",7
"2198","BRIGHTON/DUNLAP","2009","MOTOR VEHICLE THEFT",94
"2199","BRIGHTON/DUNLAP","2009","PROSTITUTION OFFENSES",3
"2200","BRIGHTON/DUNLAP","2009","ROBBERY",57
"2201","BRIGHTON/DUNLAP","2009","SEX OFFENSES",8
"2202","BRIGHTON/DUNLAP","2009","STOLEN PROPERTY OFFENSES",11
"2203","BRIGHTON/DUNLAP","2009","TRESPASS OF REAL PROPERTY",15
"2204","BRIGHTON/DUNLAP","2009","WEAPON LAW VIOLATIONS",40
"2205","BRIGHTON/DUNLAP","2010","ARSON",2
"2206","BRIGHTON/DUNLAP","2010","ASSAULT OFFENSES",242
"2207","BRIGHTON/DUNLAP","2010","BAD CHECKS",23
"2208","BRIGHTON/DUNLAP","2010","BURGLARY/BREAKING&ENTERING",154
"2209","BRIGHTON/DUNLAP","2010","COUNTERFEITING/FORGERY",4
"2210","BRIGHTON/DUNLAP","2010","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",116
"2211","BRIGHTON/DUNLAP","2010","DRIVING UNDER THE INFLUENCE",14
"2212","BRIGHTON/DUNLAP","2010","DRUG/NARCOTIC OFFENSES",47
"2213","BRIGHTON/DUNLAP","2010","FAMILY OFFENSES, NONVIOLENT",40
"2214","BRIGHTON/DUNLAP","2010","FRAUD OFFENSES",47
"2215","BRIGHTON/DUNLAP","2010","LARCENY-THEFT",205
"2216","BRIGHTON/DUNLAP","2010","LIQUOR LAW VIOLATIONS",10
"2217","BRIGHTON/DUNLAP","2010","MOTOR VEHICLE THEFT",90
"2218","BRIGHTON/DUNLAP","2010","PROSTITUTION OFFENSES",4
"2219","BRIGHTON/DUNLAP","2010","ROBBERY",65
"2220","BRIGHTON/DUNLAP","2010","SEX OFFENSES",7
"2221","BRIGHTON/DUNLAP","2010","SEX OFFENSES, CONSENSUAL",1
"2222","BRIGHTON/DUNLAP","2010","STOLEN PROPERTY OFFENSES",7
"2223","BRIGHTON/DUNLAP","2010","TRESPASS OF REAL PROPERTY",15
"2224","BRIGHTON/DUNLAP","2010","WEAPON LAW VIOLATIONS",23
"2225","BRIGHTON/DUNLAP","2011","ARSON",1
"2226","BRIGHTON/DUNLAP","2011","ASSAULT OFFENSES",252
"2227","BRIGHTON/DUNLAP","2011","BAD CHECKS",15
"2228","BRIGHTON/DUNLAP","2011","BURGLARY/BREAKING&ENTERING",157
"2229","BRIGHTON/DUNLAP","2011","COUNTERFEITING/FORGERY",5
"2230","BRIGHTON/DUNLAP","2011","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"2231","BRIGHTON/DUNLAP","2011","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",95
"2232","BRIGHTON/DUNLAP","2011","DRIVING UNDER THE INFLUENCE",20
"2233","BRIGHTON/DUNLAP","2011","DRUG/NARCOTIC OFFENSES",49
"2234","BRIGHTON/DUNLAP","2011","EMBEZZLEMENT",1
"2235","BRIGHTON/DUNLAP","2011","FAMILY OFFENSES, NONVIOLENT",31
"2236","BRIGHTON/DUNLAP","2011","FRAUD OFFENSES",22
"2237","BRIGHTON/DUNLAP","2011","HOMICIDE OFFENSES",1
"2238","BRIGHTON/DUNLAP","2011","LARCENY-THEFT",138
"2239","BRIGHTON/DUNLAP","2011","LIQUOR LAW VIOLATIONS",7
"2240","BRIGHTON/DUNLAP","2011","MOTOR VEHICLE THEFT",103
"2241","BRIGHTON/DUNLAP","2011","PROSTITUTION OFFENSES",1
"2242","BRIGHTON/DUNLAP","2011","ROBBERY",53
"2243","BRIGHTON/DUNLAP","2011","SEX OFFENSES",6
"2244","BRIGHTON/DUNLAP","2011","STOLEN PROPERTY OFFENSES",11
"2245","BRIGHTON/DUNLAP","2011","TRESPASS OF REAL PROPERTY",10
"2246","BRIGHTON/DUNLAP","2011","WEAPON LAW VIOLATIONS",28
"2247","BRIGHTON/DUNLAP","2012","ARSON",5
"2248","BRIGHTON/DUNLAP","2012","ASSAULT OFFENSES",238
"2249","BRIGHTON/DUNLAP","2012","BAD CHECKS",8
"2250","BRIGHTON/DUNLAP","2012","BURGLARY/BREAKING&ENTERING",120
"2251","BRIGHTON/DUNLAP","2012","COUNTERFEITING/FORGERY",7
"2252","BRIGHTON/DUNLAP","2012","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"2253","BRIGHTON/DUNLAP","2012","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",124
"2254","BRIGHTON/DUNLAP","2012","DRIVING UNDER THE INFLUENCE",20
"2255","BRIGHTON/DUNLAP","2012","DRUG/NARCOTIC OFFENSES",43
"2256","BRIGHTON/DUNLAP","2012","EMBEZZLEMENT",1
"2257","BRIGHTON/DUNLAP","2012","FAMILY OFFENSES, NONVIOLENT",24
"2258","BRIGHTON/DUNLAP","2012","FRAUD OFFENSES",52
"2259","BRIGHTON/DUNLAP","2012","KIDNAPPING/ABDUCTION",3
"2260","BRIGHTON/DUNLAP","2012","LARCENY-THEFT",180
"2261","BRIGHTON/DUNLAP","2012","LIQUOR LAW VIOLATIONS",2
"2262","BRIGHTON/DUNLAP","2012","MOTOR VEHICLE THEFT",69
"2263","BRIGHTON/DUNLAP","2012","PROSTITUTION OFFENSES",6
"2264","BRIGHTON/DUNLAP","2012","ROBBERY",63
"2265","BRIGHTON/DUNLAP","2012","SEX OFFENSES",13
"2266","BRIGHTON/DUNLAP","2012","STOLEN PROPERTY OFFENSES",4
"2267","BRIGHTON/DUNLAP","2012","TRESPASS OF REAL PROPERTY",7
"2268","BRIGHTON/DUNLAP","2012","WEAPON LAW VIOLATIONS",20
"2269","BRIGHTON/DUNLAP","2013","ARSON",1
"2270","BRIGHTON/DUNLAP","2013","ASSAULT OFFENSES",217
"2271","BRIGHTON/DUNLAP","2013","BAD CHECKS",11
"2272","BRIGHTON/DUNLAP","2013","BURGLARY/BREAKING&ENTERING",138
"2273","BRIGHTON/DUNLAP","2013","COUNTERFEITING/FORGERY",2
"2274","BRIGHTON/DUNLAP","2013","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",107
"2275","BRIGHTON/DUNLAP","2013","DRIVING UNDER THE INFLUENCE",17
"2276","BRIGHTON/DUNLAP","2013","DRUG/NARCOTIC OFFENSES",27
"2277","BRIGHTON/DUNLAP","2013","FAMILY OFFENSES, NONVIOLENT",23
"2278","BRIGHTON/DUNLAP","2013","FRAUD OFFENSES",43
"2279","BRIGHTON/DUNLAP","2013","HOMICIDE OFFENSES",2
"2280","BRIGHTON/DUNLAP","2013","KIDNAPPING/ABDUCTION",1
"2281","BRIGHTON/DUNLAP","2013","LARCENY-THEFT",234
"2282","BRIGHTON/DUNLAP","2013","LIQUOR LAW VIOLATIONS",2
"2283","BRIGHTON/DUNLAP","2013","MOTOR VEHICLE THEFT",107
"2284","BRIGHTON/DUNLAP","2013","PROSTITUTION OFFENSES",2
"2285","BRIGHTON/DUNLAP","2013","ROBBERY",67
"2286","BRIGHTON/DUNLAP","2013","SEX OFFENSES",6
"2287","BRIGHTON/DUNLAP","2013","STOLEN PROPERTY OFFENSES",9
"2288","BRIGHTON/DUNLAP","2013","TRESPASS OF REAL PROPERTY",14
"2289","BRIGHTON/DUNLAP","2013","WEAPON LAW VIOLATIONS",15
"2290","BRIGHTON/DUNLAP","2014","ASSAULT OFFENSES",224
"2291","BRIGHTON/DUNLAP","2014","BAD CHECKS",5
"2292","BRIGHTON/DUNLAP","2014","BURGLARY/BREAKING&ENTERING",166
"2293","BRIGHTON/DUNLAP","2014","COUNTERFEITING/FORGERY",9
"2294","BRIGHTON/DUNLAP","2014","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",101
"2295","BRIGHTON/DUNLAP","2014","DRIVING UNDER THE INFLUENCE",24
"2296","BRIGHTON/DUNLAP","2014","DRUG/NARCOTIC OFFENSES",24
"2297","BRIGHTON/DUNLAP","2014","EXTORTION/BLACKMAIL",1
"2298","BRIGHTON/DUNLAP","2014","FAMILY OFFENSES, NONVIOLENT",29
"2299","BRIGHTON/DUNLAP","2014","FRAUD OFFENSES",39
"2300","BRIGHTON/DUNLAP","2014","HOMICIDE OFFENSES",1
"2301","BRIGHTON/DUNLAP","2014","KIDNAPPING/ABDUCTION",1
"2302","BRIGHTON/DUNLAP","2014","LARCENY-THEFT",272
"2303","BRIGHTON/DUNLAP","2014","LIQUOR LAW VIOLATIONS",3
"2304","BRIGHTON/DUNLAP","2014","MOTOR VEHICLE THEFT",115
"2305","BRIGHTON/DUNLAP","2014","PROSTITUTION OFFENSES",1
"2306","BRIGHTON/DUNLAP","2014","ROBBERY",56
"2307","BRIGHTON/DUNLAP","2014","SEX OFFENSES",8
"2308","BRIGHTON/DUNLAP","2014","STOLEN PROPERTY OFFENSES",9
"2309","BRIGHTON/DUNLAP","2014","TRESPASS OF REAL PROPERTY",9
"2310","BRIGHTON/DUNLAP","2014","WEAPON LAW VIOLATIONS",16
"2311","BRIGHTON/DUNLAP","2015","ARSON",1
"2312","BRIGHTON/DUNLAP","2015","ASSAULT OFFENSES",209
"2313","BRIGHTON/DUNLAP","2015","BAD CHECKS",7
"2314","BRIGHTON/DUNLAP","2015","BURGLARY/BREAKING&ENTERING",116
"2315","BRIGHTON/DUNLAP","2015","COUNTERFEITING/FORGERY",3
"2316","BRIGHTON/DUNLAP","2015","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"2317","BRIGHTON/DUNLAP","2015","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",90
"2318","BRIGHTON/DUNLAP","2015","DRIVING UNDER THE INFLUENCE",23
"2319","BRIGHTON/DUNLAP","2015","DRUG/NARCOTIC OFFENSES",14
"2320","BRIGHTON/DUNLAP","2015","FAMILY OFFENSES, NONVIOLENT",25
"2321","BRIGHTON/DUNLAP","2015","FRAUD OFFENSES",45
"2322","BRIGHTON/DUNLAP","2015","HOMICIDE OFFENSES",3
"2323","BRIGHTON/DUNLAP","2015","KIDNAPPING/ABDUCTION",1
"2324","BRIGHTON/DUNLAP","2015","LARCENY-THEFT",163
"2325","BRIGHTON/DUNLAP","2015","LIQUOR LAW VIOLATIONS",1
"2326","BRIGHTON/DUNLAP","2015","MOTOR VEHICLE THEFT",107
"2327","BRIGHTON/DUNLAP","2015","PEEPING TOM",1
"2328","BRIGHTON/DUNLAP","2015","PROSTITUTION OFFENSES",1
"2329","BRIGHTON/DUNLAP","2015","ROBBERY",30
"2330","BRIGHTON/DUNLAP","2015","SEX OFFENSES",4
"2331","BRIGHTON/DUNLAP","2015","STOLEN PROPERTY OFFENSES",11
"2332","BRIGHTON/DUNLAP","2015","TRESPASS OF REAL PROPERTY",11
"2333","BRIGHTON/DUNLAP","2015","WEAPON LAW VIOLATIONS",31
"2334","BRIGHTON/DUNLAP","2016","ARSON",1
"2335","BRIGHTON/DUNLAP","2016","ASSAULT OFFENSES",160
"2336","BRIGHTON/DUNLAP","2016","BAD CHECKS",7
"2337","BRIGHTON/DUNLAP","2016","BURGLARY/BREAKING&ENTERING",68
"2338","BRIGHTON/DUNLAP","2016","COUNTERFEITING/FORGERY",3
"2339","BRIGHTON/DUNLAP","2016","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",109
"2340","BRIGHTON/DUNLAP","2016","DRIVING UNDER THE INFLUENCE",14
"2341","BRIGHTON/DUNLAP","2016","DRUG/NARCOTIC OFFENSES",19
"2342","BRIGHTON/DUNLAP","2016","EMBEZZLEMENT",1
"2343","BRIGHTON/DUNLAP","2016","EXTORTION/BLACKMAIL",4
"2344","BRIGHTON/DUNLAP","2016","FAMILY OFFENSES, NONVIOLENT",19
"2345","BRIGHTON/DUNLAP","2016","FRAUD OFFENSES",40
"2346","BRIGHTON/DUNLAP","2016","HOMICIDE OFFENSES",2
"2347","BRIGHTON/DUNLAP","2016","KIDNAPPING/ABDUCTION",1
"2348","BRIGHTON/DUNLAP","2016","LARCENY-THEFT",143
"2349","BRIGHTON/DUNLAP","2016","MOTOR VEHICLE THEFT",67
"2350","BRIGHTON/DUNLAP","2016","PORNOGRAPHY/OBSCENE MATERIAL",1
"2351","BRIGHTON/DUNLAP","2016","ROBBERY",29
"2352","BRIGHTON/DUNLAP","2016","SEX OFFENSES",7
