"","year","n"
"1",2008,64478
"2",2009,65084
"3",2010,63252
"4",2011,59238
"5",2012,58980
"6",2013,63667
"7",2014,69552
"8",2015,67857
"9",2016,70396
"10",2017,73070
"11",2018,75303
"12",2019,70406
"13",2020,76222
"14",2021,71068
"15",2022,74288
"16",2023,7459
