"","year","n","crime_per_capita"
"1",2020,76222,1146.90984971391
"2",2019,70406,1059.3966949038
"3",2018,75303,1133.08168787236
"4",2017,73070,1099.48181258161
"5",2016,70396,1059.24622524285
"6",2015,67857,1021.04197832695
"7",2014,69552,1046.54658585844
"8",2013,63667,957.995190387757
"9",2012,58980,887.470060299212
"10",2011,59238,891.352177551792
