"","year","MCPP","Offense.Parent.Group","n"
"1",2008,"ALASKA JUNCTION","ASSAULT OFFENSES",86
"2",2008,"ALASKA JUNCTION","BAD CHECKS",9
"3",2008,"ALASKA JUNCTION","BURGLARY/BREAKING&ENTERING",98
"4",2008,"ALASKA JUNCTION","COUNTERFEITING/FORGERY",4
"5",2008,"ALASKA JUNCTION","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",75
"6",2008,"ALASKA JUNCTION","DRIVING UNDER THE INFLUENCE",40
"7",2008,"ALASKA JUNCTION","DRUG/NARCOTIC OFFENSES",23
"8",2008,"ALASKA JUNCTION","EMBEZZLEMENT",4
"9",2008,"ALASKA JUNCTION","EXTORTION/BLACKMAIL",1
"10",2008,"ALASKA JUNCTION","FAMILY OFFENSES, NONVIOLENT",8
"11",2008,"ALASKA JUNCTION","FRAUD OFFENSES",41
"12",2008,"ALASKA JUNCTION","LARCENY-THEFT",233
"13",2008,"ALASKA JUNCTION","LIQUOR LAW VIOLATIONS",6
"14",2008,"ALASKA JUNCTION","MOTOR VEHICLE THEFT",49
"15",2008,"ALASKA JUNCTION","PEEPING TOM",1
"16",2008,"ALASKA JUNCTION","PROSTITUTION OFFENSES",2
"17",2008,"ALASKA JUNCTION","ROBBERY",13
"18",2008,"ALASKA JUNCTION","SEX OFFENSES",5
"19",2008,"ALASKA JUNCTION","STOLEN PROPERTY OFFENSES",4
"20",2008,"ALASKA JUNCTION","TRESPASS OF REAL PROPERTY",9
"21",2008,"ALASKA JUNCTION","WEAPON LAW VIOLATIONS",3
"22",2008,"ALKI","ASSAULT OFFENSES",46
"23",2008,"ALKI","BAD CHECKS",3
"24",2008,"ALKI","BURGLARY/BREAKING&ENTERING",49
"25",2008,"ALKI","COUNTERFEITING/FORGERY",1
"26",2008,"ALKI","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",40
"27",2008,"ALKI","DRIVING UNDER THE INFLUENCE",5
"28",2008,"ALKI","DRUG/NARCOTIC OFFENSES",3
"29",2008,"ALKI","FAMILY OFFENSES, NONVIOLENT",1
"30",2008,"ALKI","FRAUD OFFENSES",27
"31",2008,"ALKI","LARCENY-THEFT",127
"32",2008,"ALKI","LIQUOR LAW VIOLATIONS",3
"33",2008,"ALKI","MOTOR VEHICLE THEFT",19
"34",2008,"ALKI","ROBBERY",2
"35",2008,"ALKI","SEX OFFENSES",2
"36",2008,"ALKI","WEAPON LAW VIOLATIONS",8
"37",2008,"BALLARD NORTH","ARSON",3
"38",2008,"BALLARD NORTH","ASSAULT OFFENSES",145
"39",2008,"BALLARD NORTH","BAD CHECKS",17
"40",2008,"BALLARD NORTH","BURGLARY/BREAKING&ENTERING",161
"41",2008,"BALLARD NORTH","COUNTERFEITING/FORGERY",3
"42",2008,"BALLARD NORTH","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",169
"43",2008,"BALLARD NORTH","DRIVING UNDER THE INFLUENCE",14
"44",2008,"BALLARD NORTH","DRUG/NARCOTIC OFFENSES",13
"45",2008,"BALLARD NORTH","EMBEZZLEMENT",1
"46",2008,"BALLARD NORTH","FAMILY OFFENSES, NONVIOLENT",10
"47",2008,"BALLARD NORTH","FRAUD OFFENSES",75
"48",2008,"BALLARD NORTH","LARCENY-THEFT",498
"49",2008,"BALLARD NORTH","LIQUOR LAW VIOLATIONS",4
"50",2008,"BALLARD NORTH","MOTOR VEHICLE THEFT",104
"51",2008,"BALLARD NORTH","PORNOGRAPHY/OBSCENE MATERIAL",1
"52",2008,"BALLARD NORTH","PROSTITUTION OFFENSES",5
"53",2008,"BALLARD NORTH","ROBBERY",26
"54",2008,"BALLARD NORTH","SEX OFFENSES",4
"55",2008,"BALLARD NORTH","STOLEN PROPERTY OFFENSES",1
"56",2008,"BALLARD NORTH","TRESPASS OF REAL PROPERTY",5
"57",2008,"BALLARD NORTH","WEAPON LAW VIOLATIONS",4
"58",2008,"BALLARD SOUTH","ARSON",1
"59",2008,"BALLARD SOUTH","ASSAULT OFFENSES",193
"60",2008,"BALLARD SOUTH","BAD CHECKS",36
"61",2008,"BALLARD SOUTH","BURGLARY/BREAKING&ENTERING",175
"62",2008,"BALLARD SOUTH","COUNTERFEITING/FORGERY",10
"63",2008,"BALLARD SOUTH","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",196
"64",2008,"BALLARD SOUTH","DRIVING UNDER THE INFLUENCE",43
"65",2008,"BALLARD SOUTH","DRUG/NARCOTIC OFFENSES",29
"66",2008,"BALLARD SOUTH","EMBEZZLEMENT",9
"67",2008,"BALLARD SOUTH","FAMILY OFFENSES, NONVIOLENT",10
"68",2008,"BALLARD SOUTH","FRAUD OFFENSES",98
"69",2008,"BALLARD SOUTH","HOMICIDE OFFENSES",1
"70",2008,"BALLARD SOUTH","KIDNAPPING/ABDUCTION",2
"71",2008,"BALLARD SOUTH","LARCENY-THEFT",812
"72",2008,"BALLARD SOUTH","LIQUOR LAW VIOLATIONS",6
"73",2008,"BALLARD SOUTH","MOTOR VEHICLE THEFT",110
"74",2008,"BALLARD SOUTH","PEEPING TOM",1
"75",2008,"BALLARD SOUTH","ROBBERY",28
"76",2008,"BALLARD SOUTH","SEX OFFENSES",5
"77",2008,"BALLARD SOUTH","STOLEN PROPERTY OFFENSES",2
"78",2008,"BALLARD SOUTH","TRESPASS OF REAL PROPERTY",21
"79",2008,"BALLARD SOUTH","WEAPON LAW VIOLATIONS",10
"80",2008,"BELLTOWN","ARSON",1
"81",2008,"BELLTOWN","ASSAULT OFFENSES",335
"82",2008,"BELLTOWN","BAD CHECKS",10
"83",2008,"BELLTOWN","BURGLARY/BREAKING&ENTERING",101
"84",2008,"BELLTOWN","COUNTERFEITING/FORGERY",5
"85",2008,"BELLTOWN","CURFEW/LOITERING/VAGRANCY VIOLATIONS",27
"86",2008,"BELLTOWN","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",159
"87",2008,"BELLTOWN","DRIVING UNDER THE INFLUENCE",28
"88",2008,"BELLTOWN","DRUG/NARCOTIC OFFENSES",427
"89",2008,"BELLTOWN","EMBEZZLEMENT",2
"90",2008,"BELLTOWN","EXTORTION/BLACKMAIL",1
"91",2008,"BELLTOWN","FAMILY OFFENSES, NONVIOLENT",7
"92",2008,"BELLTOWN","FRAUD OFFENSES",79
"93",2008,"BELLTOWN","KIDNAPPING/ABDUCTION",1
"94",2008,"BELLTOWN","LARCENY-THEFT",714
"95",2008,"BELLTOWN","LIQUOR LAW VIOLATIONS",20
"96",2008,"BELLTOWN","MOTOR VEHICLE THEFT",69
"97",2008,"BELLTOWN","PEEPING TOM",1
"98",2008,"BELLTOWN","PROSTITUTION OFFENSES",1
"99",2008,"BELLTOWN","ROBBERY",45
"100",2008,"BELLTOWN","SEX OFFENSES",10
"101",2008,"BELLTOWN","STOLEN PROPERTY OFFENSES",16
"102",2008,"BELLTOWN","TRESPASS OF REAL PROPERTY",41
"103",2008,"BELLTOWN","WEAPON LAW VIOLATIONS",35
"104",2008,"BITTERLAKE","ASSAULT OFFENSES",142
"105",2008,"BITTERLAKE","BAD CHECKS",32
"106",2008,"BITTERLAKE","BURGLARY/BREAKING&ENTERING",171
"107",2008,"BITTERLAKE","COUNTERFEITING/FORGERY",28
"108",2008,"BITTERLAKE","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",120
"109",2008,"BITTERLAKE","DRIVING UNDER THE INFLUENCE",11
"110",2008,"BITTERLAKE","DRUG/NARCOTIC OFFENSES",13
"111",2008,"BITTERLAKE","EMBEZZLEMENT",7
"112",2008,"BITTERLAKE","EXTORTION/BLACKMAIL",1
"113",2008,"BITTERLAKE","FAMILY OFFENSES, NONVIOLENT",23
"114",2008,"BITTERLAKE","FRAUD OFFENSES",65
"115",2008,"BITTERLAKE","KIDNAPPING/ABDUCTION",1
"116",2008,"BITTERLAKE","LARCENY-THEFT",387
"117",2008,"BITTERLAKE","LIQUOR LAW VIOLATIONS",2
"118",2008,"BITTERLAKE","MOTOR VEHICLE THEFT",91
"119",2008,"BITTERLAKE","PROSTITUTION OFFENSES",12
"120",2008,"BITTERLAKE","ROBBERY",21
"121",2008,"BITTERLAKE","SEX OFFENSES",5
"122",2008,"BITTERLAKE","SEX OFFENSES, CONSENSUAL",1
"123",2008,"BITTERLAKE","STOLEN PROPERTY OFFENSES",4
"124",2008,"BITTERLAKE","TRESPASS OF REAL PROPERTY",23
"125",2008,"BITTERLAKE","WEAPON LAW VIOLATIONS",7
"126",2008,"BRIGHTON/DUNLAP","ARSON",4
"127",2008,"BRIGHTON/DUNLAP","ASSAULT OFFENSES",293
"128",2008,"BRIGHTON/DUNLAP","BAD CHECKS",18
"129",2008,"BRIGHTON/DUNLAP","BURGLARY/BREAKING&ENTERING",151
"130",2008,"BRIGHTON/DUNLAP","COUNTERFEITING/FORGERY",7
"131",2008,"BRIGHTON/DUNLAP","CURFEW/LOITERING/VAGRANCY VIOLATIONS",2
"132",2008,"BRIGHTON/DUNLAP","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",163
"133",2008,"BRIGHTON/DUNLAP","DRIVING UNDER THE INFLUENCE",38
"134",2008,"BRIGHTON/DUNLAP","DRUG/NARCOTIC OFFENSES",145
"135",2008,"BRIGHTON/DUNLAP","EXTORTION/BLACKMAIL",2
"136",2008,"BRIGHTON/DUNLAP","FAMILY OFFENSES, NONVIOLENT",30
"137",2008,"BRIGHTON/DUNLAP","FRAUD OFFENSES",45
"138",2008,"BRIGHTON/DUNLAP","GAMBLING OFFENSES",1
"139",2008,"BRIGHTON/DUNLAP","HOMICIDE OFFENSES",4
"140",2008,"BRIGHTON/DUNLAP","KIDNAPPING/ABDUCTION",3
"141",2008,"BRIGHTON/DUNLAP","LARCENY-THEFT",258
"142",2008,"BRIGHTON/DUNLAP","LIQUOR LAW VIOLATIONS",8
"143",2008,"BRIGHTON/DUNLAP","MOTOR VEHICLE THEFT",68
"144",2008,"BRIGHTON/DUNLAP","PROSTITUTION OFFENSES",18
"145",2008,"BRIGHTON/DUNLAP","ROBBERY",54
"146",2008,"BRIGHTON/DUNLAP","SEX OFFENSES",12
"147",2008,"BRIGHTON/DUNLAP","SEX OFFENSES, CONSENSUAL",1
"148",2008,"BRIGHTON/DUNLAP","STOLEN PROPERTY OFFENSES",11
"149",2008,"BRIGHTON/DUNLAP","TRESPASS OF REAL PROPERTY",17
"150",2008,"BRIGHTON/DUNLAP","WEAPON LAW VIOLATIONS",34
"151",2008,"CAPITOL HILL","ARSON",6
"152",2008,"CAPITOL HILL","ASSAULT OFFENSES",499
"153",2008,"CAPITOL HILL","BAD CHECKS",139
"154",2008,"CAPITOL HILL","BRIBERY",1
"155",2008,"CAPITOL HILL","BURGLARY/BREAKING&ENTERING",217
"156",2008,"CAPITOL HILL","COUNTERFEITING/FORGERY",37
"157",2008,"CAPITOL HILL","CURFEW/LOITERING/VAGRANCY VIOLATIONS",2
"158",2008,"CAPITOL HILL","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",358
"159",2008,"CAPITOL HILL","DRIVING UNDER THE INFLUENCE",51
"160",2008,"CAPITOL HILL","DRUG/NARCOTIC OFFENSES",177
"161",2008,"CAPITOL HILL","EMBEZZLEMENT",6
"162",2008,"CAPITOL HILL","EXTORTION/BLACKMAIL",1
"163",2008,"CAPITOL HILL","FAMILY OFFENSES, NONVIOLENT",33
"164",2008,"CAPITOL HILL","FRAUD OFFENSES",165
"165",2008,"CAPITOL HILL","HOMICIDE OFFENSES",1
"166",2008,"CAPITOL HILL","KIDNAPPING/ABDUCTION",5
"167",2008,"CAPITOL HILL","LARCENY-THEFT",1101
"168",2008,"CAPITOL HILL","LIQUOR LAW VIOLATIONS",40
"169",2008,"CAPITOL HILL","MOTOR VEHICLE THEFT",205
"170",2008,"CAPITOL HILL","PEEPING TOM",1
"171",2008,"CAPITOL HILL","PORNOGRAPHY/OBSCENE MATERIAL",6
"172",2008,"CAPITOL HILL","ROBBERY",96
"173",2008,"CAPITOL HILL","SEX OFFENSES",11
"174",2008,"CAPITOL HILL","STOLEN PROPERTY OFFENSES",26
"175",2008,"CAPITOL HILL","TRESPASS OF REAL PROPERTY",91
"176",2008,"CAPITOL HILL","WEAPON LAW VIOLATIONS",45
"177",2008,"CENTRAL AREA/SQUIRE PARK","ASSAULT OFFENSES",351
"178",2008,"CENTRAL AREA/SQUIRE PARK","BAD CHECKS",13
"179",2008,"CENTRAL AREA/SQUIRE PARK","BURGLARY/BREAKING&ENTERING",245
"180",2008,"CENTRAL AREA/SQUIRE PARK","COUNTERFEITING/FORGERY",7
"181",2008,"CENTRAL AREA/SQUIRE PARK","CURFEW/LOITERING/VAGRANCY VIOLATIONS",2
"182",2008,"CENTRAL AREA/SQUIRE PARK","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",259
"183",2008,"CENTRAL AREA/SQUIRE PARK","DRIVING UNDER THE INFLUENCE",29
"184",2008,"CENTRAL AREA/SQUIRE PARK","DRUG/NARCOTIC OFFENSES",170
"185",2008,"CENTRAL AREA/SQUIRE PARK","EMBEZZLEMENT",4
"186",2008,"CENTRAL AREA/SQUIRE PARK","EXTORTION/BLACKMAIL",1
"187",2008,"CENTRAL AREA/SQUIRE PARK","FAMILY OFFENSES, NONVIOLENT",25
"188",2008,"CENTRAL AREA/SQUIRE PARK","FRAUD OFFENSES",93
"189",2008,"CENTRAL AREA/SQUIRE PARK","HOMICIDE OFFENSES",2
"190",2008,"CENTRAL AREA/SQUIRE PARK","KIDNAPPING/ABDUCTION",1
"191",2008,"CENTRAL AREA/SQUIRE PARK","LARCENY-THEFT",452
"192",2008,"CENTRAL AREA/SQUIRE PARK","LIQUOR LAW VIOLATIONS",3
"193",2008,"CENTRAL AREA/SQUIRE PARK","MOTOR VEHICLE THEFT",122
"194",2008,"CENTRAL AREA/SQUIRE PARK","PROSTITUTION OFFENSES",1
"195",2008,"CENTRAL AREA/SQUIRE PARK","ROBBERY",67
"196",2008,"CENTRAL AREA/SQUIRE PARK","SEX OFFENSES",11
"197",2008,"CENTRAL AREA/SQUIRE PARK","SEX OFFENSES, CONSENSUAL",1
"198",2008,"CENTRAL AREA/SQUIRE PARK","STOLEN PROPERTY OFFENSES",10
"199",2008,"CENTRAL AREA/SQUIRE PARK","TRESPASS OF REAL PROPERTY",46
"200",2008,"CENTRAL AREA/SQUIRE PARK","WEAPON LAW VIOLATIONS",44
"201",2008,"CHINATOWN/INTERNATIONAL DISTRICT","ARSON",2
"202",2008,"CHINATOWN/INTERNATIONAL DISTRICT","ASSAULT OFFENSES",159
"203",2008,"CHINATOWN/INTERNATIONAL DISTRICT","BAD CHECKS",6
"204",2008,"CHINATOWN/INTERNATIONAL DISTRICT","BRIBERY",1
"205",2008,"CHINATOWN/INTERNATIONAL DISTRICT","BURGLARY/BREAKING&ENTERING",30
"206",2008,"CHINATOWN/INTERNATIONAL DISTRICT","COUNTERFEITING/FORGERY",2
"207",2008,"CHINATOWN/INTERNATIONAL DISTRICT","CURFEW/LOITERING/VAGRANCY VIOLATIONS",5
"208",2008,"CHINATOWN/INTERNATIONAL DISTRICT","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",111
"209",2008,"CHINATOWN/INTERNATIONAL DISTRICT","DRIVING UNDER THE INFLUENCE",13
"210",2008,"CHINATOWN/INTERNATIONAL DISTRICT","DRUG/NARCOTIC OFFENSES",268
"211",2008,"CHINATOWN/INTERNATIONAL DISTRICT","EMBEZZLEMENT",4
"212",2008,"CHINATOWN/INTERNATIONAL DISTRICT","FAMILY OFFENSES, NONVIOLENT",14
"213",2008,"CHINATOWN/INTERNATIONAL DISTRICT","FRAUD OFFENSES",30
"214",2008,"CHINATOWN/INTERNATIONAL DISTRICT","GAMBLING OFFENSES",1
"215",2008,"CHINATOWN/INTERNATIONAL DISTRICT","LARCENY-THEFT",883
"216",2008,"CHINATOWN/INTERNATIONAL DISTRICT","LIQUOR LAW VIOLATIONS",30
"217",2008,"CHINATOWN/INTERNATIONAL DISTRICT","MOTOR VEHICLE THEFT",77
"218",2008,"CHINATOWN/INTERNATIONAL DISTRICT","PROSTITUTION OFFENSES",16
"219",2008,"CHINATOWN/INTERNATIONAL DISTRICT","ROBBERY",65
"220",2008,"CHINATOWN/INTERNATIONAL DISTRICT","SEX OFFENSES",7
"221",2008,"CHINATOWN/INTERNATIONAL DISTRICT","STOLEN PROPERTY OFFENSES",6
"222",2008,"CHINATOWN/INTERNATIONAL DISTRICT","TRESPASS OF REAL PROPERTY",89
"223",2008,"CHINATOWN/INTERNATIONAL DISTRICT","WEAPON LAW VIOLATIONS",26
"224",2008,"CLAREMONT/RAINIER VISTA","ARSON",1
"225",2008,"CLAREMONT/RAINIER VISTA","ASSAULT OFFENSES",53
"226",2008,"CLAREMONT/RAINIER VISTA","BAD CHECKS",8
"227",2008,"CLAREMONT/RAINIER VISTA","BURGLARY/BREAKING&ENTERING",54
"228",2008,"CLAREMONT/RAINIER VISTA","COUNTERFEITING/FORGERY",3
"229",2008,"CLAREMONT/RAINIER VISTA","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"230",2008,"CLAREMONT/RAINIER VISTA","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",36
"231",2008,"CLAREMONT/RAINIER VISTA","DRIVING UNDER THE INFLUENCE",6
"232",2008,"CLAREMONT/RAINIER VISTA","DRUG/NARCOTIC OFFENSES",17
"233",2008,"CLAREMONT/RAINIER VISTA","EMBEZZLEMENT",1
"234",2008,"CLAREMONT/RAINIER VISTA","FAMILY OFFENSES, NONVIOLENT",2
"235",2008,"CLAREMONT/RAINIER VISTA","FRAUD OFFENSES",13
"236",2008,"CLAREMONT/RAINIER VISTA","LARCENY-THEFT",51
"237",2008,"CLAREMONT/RAINIER VISTA","LIQUOR LAW VIOLATIONS",1
"238",2008,"CLAREMONT/RAINIER VISTA","MOTOR VEHICLE THEFT",17
"239",2008,"CLAREMONT/RAINIER VISTA","ROBBERY",10
"240",2008,"CLAREMONT/RAINIER VISTA","SEX OFFENSES",6
"241",2008,"CLAREMONT/RAINIER VISTA","STOLEN PROPERTY OFFENSES",1
"242",2008,"CLAREMONT/RAINIER VISTA","TRESPASS OF REAL PROPERTY",19
"243",2008,"CLAREMONT/RAINIER VISTA","WEAPON LAW VIOLATIONS",2
"244",2008,"COLUMBIA CITY","ARSON",1
"245",2008,"COLUMBIA CITY","ASSAULT OFFENSES",100
"246",2008,"COLUMBIA CITY","BAD CHECKS",5
"247",2008,"COLUMBIA CITY","BURGLARY/BREAKING&ENTERING",56
"248",2008,"COLUMBIA CITY","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"249",2008,"COLUMBIA CITY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",54
"250",2008,"COLUMBIA CITY","DRIVING UNDER THE INFLUENCE",7
"251",2008,"COLUMBIA CITY","DRUG/NARCOTIC OFFENSES",19
"252",2008,"COLUMBIA CITY","FAMILY OFFENSES, NONVIOLENT",12
"253",2008,"COLUMBIA CITY","FRAUD OFFENSES",21
"254",2008,"COLUMBIA CITY","KIDNAPPING/ABDUCTION",1
"255",2008,"COLUMBIA CITY","LARCENY-THEFT",113
"256",2008,"COLUMBIA CITY","LIQUOR LAW VIOLATIONS",1
"257",2008,"COLUMBIA CITY","MOTOR VEHICLE THEFT",26
"258",2008,"COLUMBIA CITY","PROSTITUTION OFFENSES",3
"259",2008,"COLUMBIA CITY","ROBBERY",23
"260",2008,"COLUMBIA CITY","SEX OFFENSES",5
"261",2008,"COLUMBIA CITY","STOLEN PROPERTY OFFENSES",1
"262",2008,"COLUMBIA CITY","TRESPASS OF REAL PROPERTY",6
"263",2008,"COLUMBIA CITY","WEAPON LAW VIOLATIONS",1
"264",2008,"COMMERCIAL DUWAMISH","ASSAULT OFFENSES",4
"265",2008,"COMMERCIAL DUWAMISH","BURGLARY/BREAKING&ENTERING",6
"266",2008,"COMMERCIAL DUWAMISH","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",5
"267",2008,"COMMERCIAL DUWAMISH","DRIVING UNDER THE INFLUENCE",2
"268",2008,"COMMERCIAL DUWAMISH","DRUG/NARCOTIC OFFENSES",2
"269",2008,"COMMERCIAL DUWAMISH","FRAUD OFFENSES",1
"270",2008,"COMMERCIAL DUWAMISH","LARCENY-THEFT",12
"271",2008,"COMMERCIAL DUWAMISH","MOTOR VEHICLE THEFT",2
"272",2008,"COMMERCIAL DUWAMISH","TRESPASS OF REAL PROPERTY",1
"273",2008,"COMMERCIAL HARBOR ISLAND","ASSAULT OFFENSES",4
"274",2008,"COMMERCIAL HARBOR ISLAND","BURGLARY/BREAKING&ENTERING",5
"275",2008,"COMMERCIAL HARBOR ISLAND","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",2
"276",2008,"COMMERCIAL HARBOR ISLAND","DRIVING UNDER THE INFLUENCE",1
"277",2008,"COMMERCIAL HARBOR ISLAND","EMBEZZLEMENT",2
"278",2008,"COMMERCIAL HARBOR ISLAND","LARCENY-THEFT",6
"279",2008,"COMMERCIAL HARBOR ISLAND","MOTOR VEHICLE THEFT",1
"280",2008,"COMMERCIAL HARBOR ISLAND","TRESPASS OF REAL PROPERTY",1
"281",2008,"DOWNTOWN COMMERCIAL","ASSAULT OFFENSES",667
"282",2008,"DOWNTOWN COMMERCIAL","BAD CHECKS",56
"283",2008,"DOWNTOWN COMMERCIAL","BURGLARY/BREAKING&ENTERING",130
"284",2008,"DOWNTOWN COMMERCIAL","COUNTERFEITING/FORGERY",31
"285",2008,"DOWNTOWN COMMERCIAL","CURFEW/LOITERING/VAGRANCY VIOLATIONS",16
"286",2008,"DOWNTOWN COMMERCIAL","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",296
"287",2008,"DOWNTOWN COMMERCIAL","DRIVING UNDER THE INFLUENCE",38
"288",2008,"DOWNTOWN COMMERCIAL","DRUG/NARCOTIC OFFENSES",483
"289",2008,"DOWNTOWN COMMERCIAL","EMBEZZLEMENT",36
"290",2008,"DOWNTOWN COMMERCIAL","EXTORTION/BLACKMAIL",2
"291",2008,"DOWNTOWN COMMERCIAL","FAMILY OFFENSES, NONVIOLENT",79
"292",2008,"DOWNTOWN COMMERCIAL","FRAUD OFFENSES",213
"293",2008,"DOWNTOWN COMMERCIAL","GAMBLING OFFENSES",2
"294",2008,"DOWNTOWN COMMERCIAL","HOMICIDE OFFENSES",1
"295",2008,"DOWNTOWN COMMERCIAL","KIDNAPPING/ABDUCTION",4
"296",2008,"DOWNTOWN COMMERCIAL","LARCENY-THEFT",2473
"297",2008,"DOWNTOWN COMMERCIAL","LIQUOR LAW VIOLATIONS",49
"298",2008,"DOWNTOWN COMMERCIAL","MOTOR VEHICLE THEFT",80
"299",2008,"DOWNTOWN COMMERCIAL","PORNOGRAPHY/OBSCENE MATERIAL",7
"300",2008,"DOWNTOWN COMMERCIAL","PROSTITUTION OFFENSES",12
"301",2008,"DOWNTOWN COMMERCIAL","ROBBERY",176
"302",2008,"DOWNTOWN COMMERCIAL","SEX OFFENSES",16
"303",2008,"DOWNTOWN COMMERCIAL","STOLEN PROPERTY OFFENSES",23
"304",2008,"DOWNTOWN COMMERCIAL","TRESPASS OF REAL PROPERTY",188
"305",2008,"DOWNTOWN COMMERCIAL","WEAPON LAW VIOLATIONS",65
"306",2008,"EASTLAKE - EAST","ASSAULT OFFENSES",3
"307",2008,"EASTLAKE - EAST","BAD CHECKS",1
"308",2008,"EASTLAKE - EAST","BURGLARY/BREAKING&ENTERING",7
"309",2008,"EASTLAKE - EAST","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",17
"310",2008,"EASTLAKE - EAST","DRIVING UNDER THE INFLUENCE",3
"311",2008,"EASTLAKE - EAST","FRAUD OFFENSES",1
"312",2008,"EASTLAKE - EAST","LARCENY-THEFT",19
"313",2008,"EASTLAKE - EAST","MOTOR VEHICLE THEFT",10
"314",2008,"EASTLAKE - EAST","TRESPASS OF REAL PROPERTY",2
"315",2008,"EASTLAKE - EAST","WEAPON LAW VIOLATIONS",2
"316",2008,"EASTLAKE - WEST","ASSAULT OFFENSES",30
"317",2008,"EASTLAKE - WEST","BAD CHECKS",5
"318",2008,"EASTLAKE - WEST","BURGLARY/BREAKING&ENTERING",70
"319",2008,"EASTLAKE - WEST","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",56
"320",2008,"EASTLAKE - WEST","DRIVING UNDER THE INFLUENCE",3
"321",2008,"EASTLAKE - WEST","DRUG/NARCOTIC OFFENSES",3
"322",2008,"EASTLAKE - WEST","EMBEZZLEMENT",1
"323",2008,"EASTLAKE - WEST","FRAUD OFFENSES",24
"324",2008,"EASTLAKE - WEST","LARCENY-THEFT",150
"325",2008,"EASTLAKE - WEST","MOTOR VEHICLE THEFT",33
"326",2008,"EASTLAKE - WEST","ROBBERY",8
"327",2008,"EASTLAKE - WEST","SEX OFFENSES",1
"328",2008,"EASTLAKE - WEST","TRESPASS OF REAL PROPERTY",3
"329",2008,"FAUNTLEROY SW","ASSAULT OFFENSES",32
"330",2008,"FAUNTLEROY SW","BAD CHECKS",4
"331",2008,"FAUNTLEROY SW","BURGLARY/BREAKING&ENTERING",37
"332",2008,"FAUNTLEROY SW","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",28
"333",2008,"FAUNTLEROY SW","DRIVING UNDER THE INFLUENCE",7
"334",2008,"FAUNTLEROY SW","DRUG/NARCOTIC OFFENSES",15
"335",2008,"FAUNTLEROY SW","EXTORTION/BLACKMAIL",1
"336",2008,"FAUNTLEROY SW","FAMILY OFFENSES, NONVIOLENT",3
"337",2008,"FAUNTLEROY SW","FRAUD OFFENSES",15
"338",2008,"FAUNTLEROY SW","LARCENY-THEFT",81
"339",2008,"FAUNTLEROY SW","MOTOR VEHICLE THEFT",12
"340",2008,"FAUNTLEROY SW","TRESPASS OF REAL PROPERTY",2
"341",2008,"FAUNTLEROY SW","WEAPON LAW VIOLATIONS",2
"342",2008,"FIRST HILL","ASSAULT OFFENSES",365
"343",2008,"FIRST HILL","BAD CHECKS",18
"344",2008,"FIRST HILL","BURGLARY/BREAKING&ENTERING",133
"345",2008,"FIRST HILL","COUNTERFEITING/FORGERY",11
"346",2008,"FIRST HILL","CURFEW/LOITERING/VAGRANCY VIOLATIONS",1
"347",2008,"FIRST HILL","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",181
"348",2008,"FIRST HILL","DRIVING UNDER THE INFLUENCE",21
"349",2008,"FIRST HILL","DRUG/NARCOTIC OFFENSES",128
"350",2008,"FIRST HILL","EMBEZZLEMENT",7
"351",2008,"FIRST HILL","FAMILY OFFENSES, NONVIOLENT",45
"352",2008,"FIRST HILL","FRAUD OFFENSES",88
"353",2008,"FIRST HILL","HOMICIDE OFFENSES",3
"354",2008,"FIRST HILL","KIDNAPPING/ABDUCTION",4
"355",2008,"FIRST HILL","LARCENY-THEFT",652
"356",2008,"FIRST HILL","LIQUOR LAW VIOLATIONS",18
"357",2008,"FIRST HILL","MOTOR VEHICLE THEFT",70
"358",2008,"FIRST HILL","PROSTITUTION OFFENSES",2
"359",2008,"FIRST HILL","ROBBERY",52
"360",2008,"FIRST HILL","SEX OFFENSES",12
"361",2008,"FIRST HILL","SEX OFFENSES, CONSENSUAL",2
"362",2008,"FIRST HILL","STOLEN PROPERTY OFFENSES",4
"363",2008,"FIRST HILL","TRESPASS OF REAL PROPERTY",62
"364",2008,"FIRST HILL","WEAPON LAW VIOLATIONS",29
"365",2008,"FREMONT","ARSON",2
"366",2008,"FREMONT","ASSAULT OFFENSES",124
"367",2008,"FREMONT","BAD CHECKS",16
"368",2008,"FREMONT","BURGLARY/BREAKING&ENTERING",160
