"","start_hour","Offense.Parent.Group","n_starts","start_norm","n_reports","report_norm"
"71","03","DRIVING UNDER THE INFLUENCE",1089,0.389067524115756,1385,0.509941089837997
"72","03","DRUG/NARCOTIC OFFENSES",2308,0.768564768564769,2389,0.825786380919461
"73","03","EMBEZZLEMENT",105,0.157185628742515,205,0.944700460829493
"74","03","EXTORTION/BLACKMAIL",38,0.169642857142857,69,0.802325581395349
"75","03","FAMILY OFFENSES, NONVIOLENT",846,0.541613316261204,881,0.893509127789047
"76","03","FRAUD OFFENSES",3347,0.168140259218326,4692,0.819277108433735
"77","03","GAMBLING OFFENSES",1,0.2,1,0.25
"78","03","HOMICIDE OFFENSES",34,0.425,38,0.716981132075472
"79","03","HUMAN TRAFFICKING",3,0.15,1,0.166666666666667
"80","03","KIDNAPPING/ABDUCTION",74,0.324561403508772,123,0.953488372093023
"81","03","LARCENY-THEFT",27129,0.559880301310494,28062,0.719630721887421
"82","03","LIQUOR LAW VIOLATIONS",159,0.517915309446254,185,0.651408450704225
"83","03","MOTOR VEHICLE THEFT",3656,0.494120827138803,4165,0.571644249245128
"84","03","PEEPING TOM",13,0.371428571428571,11,0.478260869565217
"85","03","PORNOGRAPHY/OBSCENE MATERIAL",19,0.152,33,0.717391304347826
"86","03","PROSTITUTION OFFENSES",148,0.233438485804416,160,0.275862068965517
"87","03","ROBBERY",2076,0.884156729131175,1997,0.921125461254613
"88","03","SEX OFFENSES",477,0.325153374233129,555,0.882352941176471
"89","03","SEX OFFENSES, CONSENSUAL",7,0.106060606060606,13,0.590909090909091
"90","03","STOLEN PROPERTY OFFENSES",479,0.60479797979798,550,0.90311986863711
"91","03","TRESPASS OF REAL PROPERTY",2407,0.659994516040581,2547,0.827216628775576
"92","03","WEAPON LAW VIOLATIONS",719,0.624131944444444,855,0.793135435992579
"93","04","ANIMAL CRUELTY",7,0.25,10,0.588235294117647
"94","04","ARSON",148,0.708133971291866,158,0.87292817679558
"95","04","ASSAULT OFFENSES",10130,0.559885038412646,11039,0.755061559507524
"96","04","BAD CHECKS",307,0.117579471466871,551,0.738605898123324
"97","04","BRIBERY",1,0.333333333333333,NA,NA
"98","04","BURGLARY/BREAKING&ENTERING",9006,0.549012435991222,8693,0.770587713855155
"99","04","COUNTERFEITING/FORGERY",346,0.222222222222222,423,0.756708407871199
"100","04","CURFEW/LOITERING/VAGRANCY VIOLATIONS",49,0.3828125,62,0.48062015503876
"101","04","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",6117,0.498208177227561,6220,0.649269311064718
"102","04","DRIVING UNDER THE INFLUENCE",975,0.348338692390139,1200,0.441826215022091
"103","04","DRUG/NARCOTIC OFFENSES",2161,0.71961371961372,2298,0.79433114414103
"104","04","DRUNKENNESS",2,0.4,2,0.5
"105","04","EMBEZZLEMENT",95,0.142215568862275,145,0.668202764976959
"106","04","EXTORTION/BLACKMAIL",54,0.241071428571429,73,0.848837209302326
"107","04","FAMILY OFFENSES, NONVIOLENT",745,0.476952624839949,805,0.816430020283976
"108","04","FRAUD OFFENSES",2880,0.144679995981111,4251,0.742273441592457
"109","04","HOMICIDE OFFENSES",41,0.5125,46,0.867924528301887
"110","04","HUMAN TRAFFICKING",2,0.1,6,1
"111","04","KIDNAPPING/ABDUCTION",80,0.350877192982456,107,0.829457364341085
"112","04","LARCENY-THEFT",26568,0.548302548756578,25329,0.64954481343762
"113","04","LIQUOR LAW VIOLATIONS",138,0.449511400651466,129,0.454225352112676
"114","04","MOTOR VEHICLE THEFT",3739,0.505338559264766,4259,0.584545704090036
"115","04","PEEPING TOM",11,0.314285714285714,14,0.608695652173913
"116","04","PORNOGRAPHY/OBSCENE MATERIAL",16,0.128,33,0.717391304347826
"117","04","PROSTITUTION OFFENSES",200,0.315457413249211,183,0.31551724137931
"118","04","ROBBERY",1784,0.759795570698467,1939,0.894372693726937
"119","04","SEX OFFENSES",357,0.243353783231084,539,0.85691573926868
"120","04","SEX OFFENSES, CONSENSUAL",7,0.106060606060606,6,0.272727272727273
"121","04","STOLEN PROPERTY OFFENSES",580,0.732323232323232,531,0.87192118226601
"122","04","TRESPASS OF REAL PROPERTY",2412,0.661365505895256,2437,0.79149074374797
