"","MCPP","year","n"
"143","CENTRAL AREA/SQUIRE PARK","2020",1961
"144","CENTRAL AREA/SQUIRE PARK","2021",1862
"145","CENTRAL AREA/SQUIRE PARK","2022",2129
"146","CENTRAL AREA/SQUIRE PARK","2023",278
"147","CHINATOWN/INTERNATIONAL DISTRICT","2008",1859
"148","CHINATOWN/INTERNATIONAL DISTRICT","2009",1582
"149","CHINATOWN/INTERNATIONAL DISTRICT","2010",1583
"150","CHINATOWN/INTERNATIONAL DISTRICT","2011",1284
"151","CHINATOWN/INTERNATIONAL DISTRICT","2012",1461
"152","CHINATOWN/INTERNATIONAL DISTRICT","2013",1479
"153","CHINATOWN/INTERNATIONAL DISTRICT","2014",1767
"154","CHINATOWN/INTERNATIONAL DISTRICT","2015",1580
"155","CHINATOWN/INTERNATIONAL DISTRICT","2016",2133
"156","CHINATOWN/INTERNATIONAL DISTRICT","2017",2279
"157","CHINATOWN/INTERNATIONAL DISTRICT","2018",2362
"158","CHINATOWN/INTERNATIONAL DISTRICT","2019",2196
"159","CHINATOWN/INTERNATIONAL DISTRICT","2020",1978
"160","CHINATOWN/INTERNATIONAL DISTRICT","2021",2012
"161","CHINATOWN/INTERNATIONAL DISTRICT","2022",2033
"162","CHINATOWN/INTERNATIONAL DISTRICT","2023",208
"163","CLAREMONT/RAINIER VISTA","2008",300
"164","CLAREMONT/RAINIER VISTA","2009",361
"165","CLAREMONT/RAINIER VISTA","2010",368
"166","CLAREMONT/RAINIER VISTA","2011",328
"167","CLAREMONT/RAINIER VISTA","2012",363
"168","CLAREMONT/RAINIER VISTA","2013",395
"169","CLAREMONT/RAINIER VISTA","2014",407
"170","CLAREMONT/RAINIER VISTA","2015",326
"171","CLAREMONT/RAINIER VISTA","2016",360
"172","CLAREMONT/RAINIER VISTA","2017",404
"173","CLAREMONT/RAINIER VISTA","2018",451
"174","CLAREMONT/RAINIER VISTA","2019",357
"175","CLAREMONT/RAINIER VISTA","2020",482
"176","CLAREMONT/RAINIER VISTA","2021",487
"177","CLAREMONT/RAINIER VISTA","2022",554
"178","CLAREMONT/RAINIER VISTA","2023",56
"179","COLUMBIA CITY","2008",459
"180","COLUMBIA CITY","2009",460
"181","COLUMBIA CITY","2010",498
"182","COLUMBIA CITY","2011",469
"183","COLUMBIA CITY","2012",428
"184","COLUMBIA CITY","2013",488
"185","COLUMBIA CITY","2014",498
"186","COLUMBIA CITY","2015",384
"187","COLUMBIA CITY","2016",383
"188","COLUMBIA CITY","2017",416
"189","COLUMBIA CITY","2018",430
"190","COLUMBIA CITY","2019",400
"191","COLUMBIA CITY","2020",476
"192","COLUMBIA CITY","2021",407
"193","COLUMBIA CITY","2022",429
"194","COLUMBIA CITY","2023",70
"195","COMMERCIAL DUWAMISH","2008",37
"196","COMMERCIAL DUWAMISH","2009",35
"197","COMMERCIAL DUWAMISH","2010",42
"198","COMMERCIAL DUWAMISH","2011",40
"199","COMMERCIAL DUWAMISH","2012",42
"200","COMMERCIAL DUWAMISH","2013",41
"201","COMMERCIAL DUWAMISH","2014",33
"202","COMMERCIAL DUWAMISH","2015",24
"203","COMMERCIAL DUWAMISH","2016",40
"204","COMMERCIAL DUWAMISH","2017",61
"205","COMMERCIAL DUWAMISH","2018",71
"206","COMMERCIAL DUWAMISH","2019",37
"207","COMMERCIAL DUWAMISH","2020",41
"208","COMMERCIAL DUWAMISH","2021",79
"209","COMMERCIAL DUWAMISH","2022",78
"210","COMMERCIAL DUWAMISH","2023",7
"211","COMMERCIAL HARBOR ISLAND","2008",21
"212","COMMERCIAL HARBOR ISLAND","2009",16
"213","COMMERCIAL HARBOR ISLAND","2010",13
"214","COMMERCIAL HARBOR ISLAND","2011",23
"215","COMMERCIAL HARBOR ISLAND","2012",18
"216","COMMERCIAL HARBOR ISLAND","2013",13
"217","COMMERCIAL HARBOR ISLAND","2014",15
"218","COMMERCIAL HARBOR ISLAND","2015",22
"219","COMMERCIAL HARBOR ISLAND","2016",22
"220","COMMERCIAL HARBOR ISLAND","2017",38
"221","COMMERCIAL HARBOR ISLAND","2018",36
"222","COMMERCIAL HARBOR ISLAND","2019",36
"223","COMMERCIAL HARBOR ISLAND","2020",33
"224","COMMERCIAL HARBOR ISLAND","2021",27
"225","COMMERCIAL HARBOR ISLAND","2022",42
"226","COMMERCIAL HARBOR ISLAND","2023",4
"227","DOWNTOWN COMMERCIAL","2008",5134
"228","DOWNTOWN COMMERCIAL","2009",5416
"229","DOWNTOWN COMMERCIAL","2010",4888
"230","DOWNTOWN COMMERCIAL","2011",4977
"231","DOWNTOWN COMMERCIAL","2012",5494
"232","DOWNTOWN COMMERCIAL","2013",5887
"233","DOWNTOWN COMMERCIAL","2014",6205
"234","DOWNTOWN COMMERCIAL","2015",6485
"235","DOWNTOWN COMMERCIAL","2016",6294
"236","DOWNTOWN COMMERCIAL","2017",7036
"237","DOWNTOWN COMMERCIAL","2018",6981
"238","DOWNTOWN COMMERCIAL","2019",6143
"239","DOWNTOWN COMMERCIAL","2020",4104
"240","DOWNTOWN COMMERCIAL","2021",4183
"241","DOWNTOWN COMMERCIAL","2022",4650
"242","DOWNTOWN COMMERCIAL","2023",412
"243","EASTLAKE - EAST","2008",66
"244","EASTLAKE - EAST","2009",81
"245","EASTLAKE - EAST","2010",88
"246","EASTLAKE - EAST","2011",119
"247","EASTLAKE - EAST","2012",76
"248","EASTLAKE - EAST","2013",122
"249","EASTLAKE - EAST","2014",118
"250","EASTLAKE - EAST","2015",124
"251","EASTLAKE - EAST","2016",114
"252","EASTLAKE - EAST","2017",121
"253","EASTLAKE - EAST","2018",87
"254","EASTLAKE - EAST","2019",104
"255","EASTLAKE - EAST","2020",101
"256","EASTLAKE - EAST","2021",127
"257","EASTLAKE - EAST","2022",138
"258","EASTLAKE - EAST","2023",16
"259","EASTLAKE - WEST","2008",391
"260","EASTLAKE - WEST","2009",429
"261","EASTLAKE - WEST","2010",374
"262","EASTLAKE - WEST","2011",408
"263","EASTLAKE - WEST","2012",380
"264","EASTLAKE - WEST","2013",484
"265","EASTLAKE - WEST","2014",435
"266","EASTLAKE - WEST","2015",340
"267","EASTLAKE - WEST","2016",445
"268","EASTLAKE - WEST","2017",428
"269","EASTLAKE - WEST","2018",360
"270","EASTLAKE - WEST","2019",422
"271","EASTLAKE - WEST","2020",577
"272","EASTLAKE - WEST","2021",528
"273","EASTLAKE - WEST","2022",566
"274","EASTLAKE - WEST","2023",80
"275","FAUNTLEROY SW","2008",234
"276","FAUNTLEROY SW","2009",276
"277","FAUNTLEROY SW","2010",311
"278","FAUNTLEROY SW","2011",261
"279","FAUNTLEROY SW","2012",276
"280","FAUNTLEROY SW","2013",317
"281","FAUNTLEROY SW","2014",319
"282","FAUNTLEROY SW","2015",271
"283","FAUNTLEROY SW","2016",284
"284","FAUNTLEROY SW","2017",297
"285","FAUNTLEROY SW","2018",330
"286","FAUNTLEROY SW","2019",310
"287","FAUNTLEROY SW","2020",376
"288","FAUNTLEROY SW","2021",247
"289","FAUNTLEROY SW","2022",211
"290","FAUNTLEROY SW","2023",29
"291","FIRST HILL","2008",1900
"292","FIRST HILL","2009",1949
"293","FIRST HILL","2010",1878
"294","FIRST HILL","2011",1602
"295","FIRST HILL","2012",1696
"296","FIRST HILL","2013",1783
"297","FIRST HILL","2014",2291
"298","FIRST HILL","2015",2020
"299","FIRST HILL","2016",1745
"300","FIRST HILL","2017",2042
"301","FIRST HILL","2018",2215
"302","FIRST HILL","2019",2575
"303","FIRST HILL","2020",2500
"304","FIRST HILL","2021",2470
"305","FIRST HILL","2022",2371
"306","FIRST HILL","2023",290
"307","FREMONT","2008",1266
"308","FREMONT","2009",1230
"309","FREMONT","2010",1315
"310","FREMONT","2011",1044
"311","FREMONT","2012",1114
"312","FREMONT","2013",1165
"313","FREMONT","2014",1151
"314","FREMONT","2015",1078
"315","FREMONT","2016",1203
"316","FREMONT","2017",1207
"317","FREMONT","2018",1674
"318","FREMONT","2019",1331
"319","FREMONT","2020",1572
"320","FREMONT","2021",1298
"321","FREMONT","2022",1453
"322","FREMONT","2023",149
"323","GENESEE","2008",191
"324","GENESEE","2009",234
"325","GENESEE","2010",231
"326","GENESEE","2011",195
"327","GENESEE","2012",217
"328","GENESEE","2013",203
"329","GENESEE","2014",260
"330","GENESEE","2015",229
"331","GENESEE","2016",177
"332","GENESEE","2017",143
"333","GENESEE","2018",168
"334","GENESEE","2019",140
