"","MCPP","year","n"
"699","PIGEON POINT","2016",64
"700","PIGEON POINT","2017",68
"701","PIGEON POINT","2018",84
"702","PIGEON POINT","2019",83
"703","PIGEON POINT","2020",86
"704","PIGEON POINT","2021",89
"705","PIGEON POINT","2022",136
"706","PIGEON POINT","2023",8
"707","PIONEER SQUARE","2008",1480
"708","PIONEER SQUARE","2009",1462
"709","PIONEER SQUARE","2010",1051
"710","PIONEER SQUARE","2011",991
"711","PIONEER SQUARE","2012",955
"712","PIONEER SQUARE","2013",1036
"713","PIONEER SQUARE","2014",1234
"714","PIONEER SQUARE","2015",1296
"715","PIONEER SQUARE","2016",1152
"716","PIONEER SQUARE","2017",1110
"717","PIONEER SQUARE","2018",1331
"718","PIONEER SQUARE","2019",1395
"719","PIONEER SQUARE","2020",1006
"720","PIONEER SQUARE","2021",892
"721","PIONEER SQUARE","2022",987
"722","PIONEER SQUARE","2023",99
"723","QUEEN ANNE","2008",3369
"724","QUEEN ANNE","2009",3274
"725","QUEEN ANNE","2010",2926
"726","QUEEN ANNE","2011",2777
"727","QUEEN ANNE","2012",2792
"728","QUEEN ANNE","2013",3313
"729","QUEEN ANNE","2014",3291
"730","QUEEN ANNE","2015",3391
"731","QUEEN ANNE","2016",3330
"732","QUEEN ANNE","2017",3540
"733","QUEEN ANNE","2018",3722
"734","QUEEN ANNE","2019",3798
"735","QUEEN ANNE","2020",4463
"736","QUEEN ANNE","2021",3779
"737","QUEEN ANNE","2022",4451
"738","QUEEN ANNE","2023",450
"739","RAINIER BEACH","2008",933
"740","RAINIER BEACH","2009",885
"741","RAINIER BEACH","2010",933
"742","RAINIER BEACH","2011",700
"743","RAINIER BEACH","2012",766
"744","RAINIER BEACH","2013",730
"745","RAINIER BEACH","2014",847
"746","RAINIER BEACH","2015",703
"747","RAINIER BEACH","2016",778
"748","RAINIER BEACH","2017",644
"749","RAINIER BEACH","2018",819
"750","RAINIER BEACH","2019",639
"751","RAINIER BEACH","2020",525
"752","RAINIER BEACH","2021",550
"753","RAINIER BEACH","2022",675
"754","RAINIER BEACH","2023",97
"755","RAINIER VIEW","2008",816
"756","RAINIER VIEW","2009",865
"757","RAINIER VIEW","2010",818
"758","RAINIER VIEW","2011",690
"759","RAINIER VIEW","2012",709
"760","RAINIER VIEW","2013",689
"761","RAINIER VIEW","2014",645
"762","RAINIER VIEW","2015",674
"763","RAINIER VIEW","2016",655
"764","RAINIER VIEW","2017",655
"765","RAINIER VIEW","2018",688
"766","RAINIER VIEW","2019",482
"767","RAINIER VIEW","2020",578
"768","RAINIER VIEW","2021",499
"769","RAINIER VIEW","2022",419
"770","RAINIER VIEW","2023",60
"771","ROOSEVELT/RAVENNA","2008",1878
"772","ROOSEVELT/RAVENNA","2009",2329
"773","ROOSEVELT/RAVENNA","2010",2137
"774","ROOSEVELT/RAVENNA","2011",2112
"775","ROOSEVELT/RAVENNA","2012",1929
"776","ROOSEVELT/RAVENNA","2013",1997
"777","ROOSEVELT/RAVENNA","2014",2430
"778","ROOSEVELT/RAVENNA","2015",2245
"779","ROOSEVELT/RAVENNA","2016",2539
"780","ROOSEVELT/RAVENNA","2017",2641
"781","ROOSEVELT/RAVENNA","2018",2633
"782","ROOSEVELT/RAVENNA","2019",2653
"783","ROOSEVELT/RAVENNA","2020",3175
"784","ROOSEVELT/RAVENNA","2021",3012
"785","ROOSEVELT/RAVENNA","2022",3000
"786","ROOSEVELT/RAVENNA","2023",347
"787","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2008",825
"788","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2009",938
"789","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2010",884
"790","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2011",916
"791","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2012",961
"792","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2013",1211
"793","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2014",1070
"794","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2015",1152
"795","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2016",1176
"796","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2017",1167
"797","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2018",1136
"798","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2019",1114
"799","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2020",1085
"800","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2021",1076
"801","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2022",1165
"802","ROXHILL/WESTWOOD/ARBOR HEIGHTS","2023",144
"803","SANDPOINT","2008",1182
"804","SANDPOINT","2009",1331
"805","SANDPOINT","2010",1370
"806","SANDPOINT","2011",1121
"807","SANDPOINT","2012",1100
"808","SANDPOINT","2013",1356
"809","SANDPOINT","2014",1520
"810","SANDPOINT","2015",1424
"811","SANDPOINT","2016",1682
"812","SANDPOINT","2017",1541
"813","SANDPOINT","2018",1385
"814","SANDPOINT","2019",1452
"815","SANDPOINT","2020",2267
"816","SANDPOINT","2021",1668
"817","SANDPOINT","2022",1519
"818","SANDPOINT","2023",209
"819","SLU/CASCADE","2008",3076
"820","SLU/CASCADE","2009",3405
"821","SLU/CASCADE","2010",3127
"822","SLU/CASCADE","2011",2542
"823","SLU/CASCADE","2012",2529
"824","SLU/CASCADE","2013",2488
"825","SLU/CASCADE","2014",2848
"826","SLU/CASCADE","2015",2853
"827","SLU/CASCADE","2016",3110
"828","SLU/CASCADE","2017",3130
"829","SLU/CASCADE","2018",3234
"830","SLU/CASCADE","2019",3013
"831","SLU/CASCADE","2020",3305
"832","SLU/CASCADE","2021",3351
"833","SLU/CASCADE","2022",3397
"834","SLU/CASCADE","2023",336
"835","SODO","2008",983
"836","SODO","2009",947
"837","SODO","2010",1079
"838","SODO","2011",955
"839","SODO","2012",858
"840","SODO","2013",891
"841","SODO","2014",1043
"842","SODO","2015",1120
"843","SODO","2016",1124
"844","SODO","2017",1297
"845","SODO","2018",1704
"846","SODO","2019",1590
"847","SODO","2020",1044
"848","SODO","2021",1232
"849","SODO","2022",1599
"850","SODO","2023",153
"851","SOUTH BEACON HILL","2008",373
"852","SOUTH BEACON HILL","2009",414
"853","SOUTH BEACON HILL","2010",343
"854","SOUTH BEACON HILL","2011",351
"855","SOUTH BEACON HILL","2012",338
"856","SOUTH BEACON HILL","2013",255
"857","SOUTH BEACON HILL","2014",334
"858","SOUTH BEACON HILL","2015",261
"859","SOUTH BEACON HILL","2016",283
"860","SOUTH BEACON HILL","2017",250
"861","SOUTH BEACON HILL","2018",300
"862","SOUTH BEACON HILL","2019",267
"863","SOUTH BEACON HILL","2020",307
"864","SOUTH BEACON HILL","2021",219
"865","SOUTH BEACON HILL","2022",262
"866","SOUTH BEACON HILL","2023",26
"867","SOUTH DELRIDGE","2008",221
"868","SOUTH DELRIDGE","2009",207
"869","SOUTH DELRIDGE","2010",222
"870","SOUTH DELRIDGE","2011",227
"871","SOUTH DELRIDGE","2012",229
"872","SOUTH DELRIDGE","2013",248
"873","SOUTH DELRIDGE","2014",307
"874","SOUTH DELRIDGE","2015",279
"875","SOUTH DELRIDGE","2016",344
"876","SOUTH DELRIDGE","2017",333
"877","SOUTH DELRIDGE","2018",357
"878","SOUTH DELRIDGE","2019",314
"879","SOUTH DELRIDGE","2020",255
"880","SOUTH DELRIDGE","2021",289
"881","SOUTH DELRIDGE","2022",371
"882","SOUTH DELRIDGE","2023",19
"883","SOUTH PARK","2008",670
"884","SOUTH PARK","2009",605
"885","SOUTH PARK","2010",511
"886","SOUTH PARK","2011",511
"887","SOUTH PARK","2012",615
"888","SOUTH PARK","2013",481
"889","SOUTH PARK","2014",653
"890","SOUTH PARK","2015",554
"891","SOUTH PARK","2016",604
"892","SOUTH PARK","2017",556
"893","SOUTH PARK","2018",683
"894","SOUTH PARK","2019",659
"895","SOUTH PARK","2020",516
"896","SOUTH PARK","2021",535
"897","SOUTH PARK","2022",540
"898","SOUTH PARK","2023",55
"899","UNIVERSITY","2008",2383
"900","UNIVERSITY","2009",2228
"901","UNIVERSITY","2010",2242
"902","UNIVERSITY","2011",2416
"903","UNIVERSITY","2012",2368
"904","UNIVERSITY","2013",2360
"905","UNIVERSITY","2014",2648
"906","UNIVERSITY","2015",2922
"907","UNIVERSITY","2016",2881
"908","UNIVERSITY","2017",2974
"909","UNIVERSITY","2018",2914
"910","UNIVERSITY","2019",3008
"911","UNIVERSITY","2020",3137
"912","UNIVERSITY","2021",2990
"913","UNIVERSITY","2022",3152
"914","UNIVERSITY","2023",404
"915","UNKNOWN","2008",527
"916","UNKNOWN","2009",383
"917","UNKNOWN","2010",424
"918","UNKNOWN","2011",419
"919","UNKNOWN","2012",344
"920","UNKNOWN","2013",427
"921","UNKNOWN","2014",301
"922","UNKNOWN","2015",341
"923","UNKNOWN","2016",403
"924","UNKNOWN","2017",658
"925","UNKNOWN","2018",688
"926","UNKNOWN","2019",493
"927","UNKNOWN","2020",1132
"928","UNKNOWN","2021",857
"929","UNKNOWN","2022",1320
"930","UNKNOWN","2023",53
"931","WALLINGFORD","2008",1133
"932","WALLINGFORD","2009",1209
"933","WALLINGFORD","2010",1157
"934","WALLINGFORD","2011",1041
"935","WALLINGFORD","2012",1073
"936","WALLINGFORD","2013",1164
"937","WALLINGFORD","2014",1206
"938","WALLINGFORD","2015",1157
"939","WALLINGFORD","2016",1434
"940","WALLINGFORD","2017",1280
"941","WALLINGFORD","2018",1328
"942","WALLINGFORD","2019",1115
"943","WALLINGFORD","2020",1550
"944","WALLINGFORD","2021",1503
"945","WALLINGFORD","2022",1590
"946","WALLINGFORD","2023",158
