MCPP,overall_crime_index,night_modifier,night_crime_index
DOWNTOWN COMMERCIAL,3.6982045958781455,-0.22681624098317155,3.471388354894974
QUEEN ANNE,3.6634031595548477,0.09360580012268449,3.757008959677532
CAPITOL HILL,3.333998627830101,0.13141326869440118,3.465411896524502
NORTHGATE,3.234535912537535,-0.09798737526722201,3.136548537270313
SLU/CASCADE,2.545025884114015,-0.0009036367360364395,2.5441222473779788
ROOSEVELT/RAVENNA,2.4856216196950935,-0.0606659313498884,2.424955688345205
UNIVERSITY,2.419278096069714,0.04896188629208775,2.4682399823618013
BALLARD SOUTH,2.064219333339274,0.015580890015048476,2.0798002233543222
FIRST HILL,1.6810881129099806,0.02576796594102637,1.706856078851007
LAKECITY,1.5624898646541512,-0.031171891938386098,1.531317972715765
BELLTOWN,1.5547094831196375,0.07305061303398985,1.6277600961536274
SANDPOINT,1.548506205950228,-0.005771278069716668,1.5427349278805114
CENTRAL AREA/SQUIRE PARK,1.480795858541758,-0.009466908963773113,1.4713289495779849
BALLARD NORTH,1.4188682271386697,0.05666862164481912,1.4755368487834888
WALLINGFORD,1.387956981582629,0.10081800796407148,1.4887749895467004
FREMONT,1.3301298215288113,0.1368621715843168,1.4669919931131281
GREENWOOD,1.3137279361317287,0.04596751219504136,1.35969544832677
BITTERLAKE,1.2296157033261756,-0.00021907173767243826,1.2293966315885032
CHINATOWN/INTERNATIONAL DISTRICT,1.1928166014737462,-0.1750609476103545,1.0177556538633916
MAGNOLIA,1.141718420044373,0.011772021565874757,1.1534904416102478
NORTH BEACON HILL,1.017022034910141,-0.016452056643789348,1.0005699782663517
ALASKA JUNCTION,0.9448957952793793,-0.0018881397579363357,0.943007655521443
SODO,0.941951867131185,-0.03713460460552742,0.9048172625256575
ROXHILL/WESTWOOD/ARBOR HEIGHTS,0.8930616318129574,-0.08680666188243924,0.8062549699305182
MADRONA/LESCHI,0.7710988942449057,-0.038783609099209304,0.7323152851456964
PIONEER SQUARE,0.7697320704618155,0.0472894438612792,0.8170215143230947
MOUNT BAKER,0.7372437205406708,-0.07199207236347904,0.6652516481771917
GEORGETOWN,0.7252577273658795,0.00328346358313536,0.7285411909490148
HIGHLAND PARK,0.7099072448788661,0.03294261024530187,0.742849855124168
BRIGHTON/DUNLAP,0.6756315100106033,0.06337431320296272,0.739005823213566
NORTH ADMIRAL,0.6568113979203608,0.043609162014351055,0.7004205599347119
MID BEACON HILL,0.6411454945603265,-0.03078811762982059,0.610357376930506
PHINNEY RIDGE,0.636624462047028,0.05548512775195413,0.6921095897989822
MORGAN,0.6217996810150495,0.05760095075160265,0.6794006317666521
RAINIER VIEW,0.567231869982447,-0.07255271452010126,0.49467915546234575
MONTLAKE/PORTAGE BAY,0.5240192103785942,0.01616617259288433,0.5401853829714786
EASTLAKE - WEST,0.5153977065160251,0.15448709768877045,0.6698848042047956
JUDKINS PARK/NORTH BEACON HILL,0.5134000409868933,-0.004544646855224599,0.5088553941316687
RAINIER BEACH,0.48375047892293577,-0.07679729399748148,0.4069531849254543
MILLER PARK,0.47807290320856105,0.01626762255199954,0.4943405257605606
NORTH DELRIDGE,0.4556780212240826,-0.04402068171784912,0.41165733950623346
SOUTH PARK,0.4515775498748119,-0.002351889380758476,0.44922566049405344
HIGH POINT,0.42098172519179206,-0.06706700321686587,0.3539147219749262
LAKEWOOD/SEWARD PARK,0.390701321381793,-0.16528683615150852,0.22541448523028446
COLUMBIA CITY,0.37440457627571716,-0.041811270914922316,0.33259330536079484
ALKI,0.3594746549527315,0.11929958456097256,0.47877423951370407
FAUNTLEROY SW,0.31668255651290644,-0.012951518619745084,0.30373103789316136
NEW HOLLY,0.3029091783909972,-0.052397118778343854,0.2505120596126533
CLAREMONT/RAINIER VISTA,0.2859815915388797,-0.026001296088618564,0.25998029545026113
MADISON PARK,0.2501287523055128,0.06200035453071706,0.31212910683622985
HILLMAN CITY,0.24686940328429763,-0.0018371074857597147,0.2450322957985379
SOUTH BEACON HILL,0.2324651834163467,-0.04509247799432936,0.18737270542201734
SOUTH DELRIDGE,0.208703477648778,0.007741571165878147,0.21644504881465615
UNKNOWN,0.1707478325952723,-0.007854248865274749,0.16289358372999754
GENESEE,0.1602338034945782,-0.05100104044747977,0.10923276304709842
EASTLAKE - EAST,0.11775712592777399,0.16784606186957385,0.28560318779734784
PIGEON POINT,0.08432251338756674,-0.01228343931375342,0.07203907407381333
COMMERCIAL DUWAMISH,0.037955645053505724,0.030054836307495947,0.06801048136100167
COMMERCIAL HARBOR ISLAND,0.02165889994742986,-0.04215800274580728,-0.020499102798377418
